num_cores,n_tasks,target_utilization,scheduling_type,scheduling_policy,preemption_mode,allocation_policy,avg_response_time_sim,schedulability_ratio_sim,deadline_misses,total_jobs,avg_response_time_cf,schedulability_ratio_cf,avg_sched_delay,energy_estimate,analysis_overhead
8,5,0.5,Partitioned,FIFO,Preemptive,First-Fit Decreasing,172.1562763438254,1.0,0,7,96.5476421814964,1.0,86.33614996027305,1059.871594800322,0.0001418590545654297
8,5,0.5,Global,FIFO,Non-Preemptive,,98.0133579272122,1.0,0,7,96.5476421814964,1.0,12.193231543659849,1059.871594800322,0.00013446807861328125
8,5,0.5,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,172.1562763438254,1.0,0,7,96.5476421814964,1.0,86.33614996027305,1059.871594800322,0.00014019012451171875
8,5,0.5,Global,HEFT,Preemptive,,0.0,0.0,0,0,96.5476421814964,1.0,0.0,1006.878015060306,0.08323550224304199
8,5,0.5,Partitioned,HEFT,Preemptive,First-Fit Decreasing,198.70030950160137,1.0,0,7,96.5476421814964,1.0,112.88018311804902,1006.878015060306,0.0002186298370361328
8,5,0.5,Global,HEFT,Non-Preemptive,,102.87592748918254,1.0,0,7,96.5476421814964,1.0,17.055801105630195,1006.878015060306,0.0001506805419921875
8,5,0.5,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,212.66836814360926,1.0,0,7,96.5476421814964,1.0,126.84824176005691,1006.878015060306,0.00015211105346679688
8,5,0.5,Global,LDF,Preemptive,,0.0,0.0,0,0,96.5476421814964,1.0,0.0,1112.8651745403383,0.07886767387390137
8,5,0.5,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,96.5476421814964,1.0,0.0,1112.8651745403383,0.06883597373962402
8,5,0.5,Global,LDF,Non-Preemptive,,103.01925108234937,1.0,0,7,96.5476421814964,1.0,17.19912469879702,1112.8651745403383,0.00015997886657714844
8,5,0.5,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,210.33065031113736,1.0,0,7,96.5476421814964,1.0,124.51052392758501,1112.8651745403383,0.00016021728515625
8,10,0.25,Global,FIFO,Preemptive,,16.09157595179645,1.0,0,35,17.927139826438165,1.0,1.749864090645918,411.99821612859216,0.0005152225494384766
8,10,0.25,Partitioned,FIFO,Preemptive,First-Fit Decreasing,29.116652010160628,1.0,0,34,17.927139826438165,1.0,14.774940149010096,411.99821612859216,0.000484466552734375
8,10,0.25,Global,FIFO,Non-Preemptive,,16.09157595179645,1.0,0,35,17.927139826438165,1.0,1.749864090645918,411.99821612859216,0.0005314350128173828
8,10,0.25,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,29.116652010160628,1.0,0,34,17.927139826438165,1.0,14.774940149010096,411.99821612859216,0.0004706382751464844
8,10,0.25,Global,HEFT,Preemptive,,0.0,0.0,0,0,17.927139826438165,1.0,0.0,391.3983053221625,0.13338971138000488
8,10,0.25,Partitioned,HEFT,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,17.927139826438165,1.0,0.0,391.3983053221625,0.11067438125610352
8,10,0.25,Global,HEFT,Non-Preemptive,,18.842902703177025,1.0,0,35,17.927139826438165,1.0,4.501190842026492,391.3983053221625,0.0005669593811035156
8,10,0.25,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,34.702782019901605,1.0,0,34,17.927139826438165,1.0,20.361070158751073,391.3983053221625,0.0005109310150146484
8,10,0.25,Global,LDF,Preemptive,,0.0,0.0,0,0,17.927139826438165,1.0,0.0,432.5981269350218,0.10878753662109375
8,10,0.25,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,17.927139826438165,1.0,0.0,432.5981269350218,0.10155272483825684
8,10,0.25,Global,LDF,Non-Preemptive,,18.791396424624,1.0,0,35,17.927139826438165,1.0,4.449684563473468,432.5981269350218,0.0005557537078857422
8,10,0.25,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,34.836402854601346,1.0,0,34,17.927139826438165,1.0,20.494690993450813,432.5981269350218,0.0005071163177490234
8,10,0.5,Global,FIFO,Preemptive,,11.576775533608188,1.0,0,61,22.40967580630731,1.0,0.0,515.6181456950721,0.0007336139678955078
8,10,0.5,Partitioned,FIFO,Preemptive,First-Fit Decreasing,27.12790530485575,0.9672131147540983,2,61,22.40967580630731,1.0,9.2001646598099,515.6181456950721,0.0007922649383544922
8,10,0.5,Global,FIFO,Non-Preemptive,,11.576775533608188,1.0,0,61,22.40967580630731,1.0,0.0,515.6181456950721,0.0007348060607910156
8,10,0.5,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,27.12790530485575,0.9672131147540983,2,61,22.40967580630731,1.0,9.2001646598099,515.6181456950721,0.0007722377777099609
8,10,0.5,Global,HEFT,Preemptive,,0.0,0.0,0,0,22.40967580630731,1.0,0.0,489.8372384103185,0.12110018730163574
8,10,0.5,Partitioned,HEFT,Preemptive,First-Fit Decreasing,68.32183018446085,1.0,0,2,22.40967580630731,1.0,50.394089539415,489.8372384103185,0.1058344841003418
